"metric","variable","value","dataset"
"info","bases","73676495","Ecoli-454-LGC-1"
"info","reads","139047","Ecoli-454-LGC-1"
"len","max","773","Ecoli-454-LGC-1"
"len","mean","529.87","Ecoli-454-LGC-1"
"len","median","528","Ecoli-454-LGC-1"
"len","min","43","Ecoli-454-LGC-1"
"len","mode","556","Ecoli-454-LGC-1"
"len","modeval","13839","Ecoli-454-LGC-1"
"len","range","731","Ecoli-454-LGC-1"
"len","stddev","31.97","Ecoli-454-LGC-1"
"info","bases","32989908","Ecoli-454-LGC-2"
"info","reads","62401","Ecoli-454-LGC-2"
"len","max","927","Ecoli-454-LGC-2"
"len","mean","528.68","Ecoli-454-LGC-2"
"len","median","528","Ecoli-454-LGC-2"
"len","min","44","Ecoli-454-LGC-2"
"len","mode","523","Ecoli-454-LGC-2"
"len","modeval","6725","Ecoli-454-LGC-2"
"len","range","884","Ecoli-454-LGC-2"
"len","stddev","31.67","Ecoli-454-LGC-2"
"info","bases","60466797","Ecoli-454-LGC-3"
"info","reads","114594","Ecoli-454-LGC-3"
"len","max","1194","Ecoli-454-LGC-3"
"len","mean","527.66","Ecoli-454-LGC-3"
"len","median","525","Ecoli-454-LGC-3"
"len","min","43","Ecoli-454-LGC-3"
"len","mode","524","Ecoli-454-LGC-3"
"len","modeval","15482","Ecoli-454-LGC-3"
"len","range","1152","Ecoli-454-LGC-3"
"len","stddev","30.46","Ecoli-454-LGC-3"
"info","bases","6713826","Ecoli-454-NMIA-1"
"info","reads","12727","Ecoli-454-NMIA-1"
"len","max","601","Ecoli-454-NMIA-1"
"len","mean","527.53","Ecoli-454-NMIA-1"
"len","median","527","Ecoli-454-NMIA-1"
"len","min","48","Ecoli-454-NMIA-1"
"len","mode","520","Ecoli-454-NMIA-1"
"len","modeval","731","Ecoli-454-NMIA-1"
"len","range","554","Ecoli-454-NMIA-1"
"len","stddev","33.43","Ecoli-454-NMIA-1"
"info","bases","72113245","Ecoli-ION-NIMC-1"
"info","reads","454348","Ecoli-ION-NIMC-1"
"len","max","327","Ecoli-ION-NIMC-1"
"len","mean","158.72","Ecoli-ION-NIMC-1"
"len","median","166","Ecoli-ION-NIMC-1"
"len","min","8","Ecoli-ION-NIMC-1"
"len","mode","213","Ecoli-ION-NIMC-1"
"len","modeval","4446","Ecoli-ION-NIMC-1"
"len","range","320","Ecoli-ION-NIMC-1"
"len","stddev","53.65","Ecoli-ION-NIMC-1"
"info","bases","23255094","Ecoli-ION-NIST-1"
"info","reads","130421","Ecoli-ION-NIST-1"
"len","max","337","Ecoli-ION-NIST-1"
"len","mean","178.31","Ecoli-ION-NIST-1"
"len","median","182","Ecoli-ION-NIST-1"
"len","min","8","Ecoli-ION-NIST-1"
"len","mode","189","Ecoli-ION-NIST-1"
"len","modeval","834","Ecoli-ION-NIST-1"
"len","range","330","Ecoli-ION-NIST-1"
"len","stddev","67.39","Ecoli-ION-NIST-1"
"info","bases","3462","Ecoli-Sanger-ATCC-1"
"info","reads","4","Ecoli-Sanger-ATCC-1"
"len","max","956","Ecoli-Sanger-ATCC-1"
"len","mean","865.50","Ecoli-Sanger-ATCC-1"
"len","median","867","Ecoli-Sanger-ATCC-1"
"len","min","772","Ecoli-Sanger-ATCC-1"
"len","mode","772","Ecoli-Sanger-ATCC-1"
"len","modeval","1","Ecoli-Sanger-ATCC-1"
"len","range","185","Ecoli-Sanger-ATCC-1"
"len","stddev","80.91","Ecoli-Sanger-ATCC-1"
"info","bases","1992","Ecoli-Sanger-ISP-1"
"info","reads","4","Ecoli-Sanger-ISP-1"
"len","max","732","Ecoli-Sanger-ISP-1"
"len","mean","498.00","Ecoli-Sanger-ISP-1"
"len","median","456","Ecoli-Sanger-ISP-1"
"len","min","348","Ecoli-Sanger-ISP-1"
"len","mode","348","Ecoli-Sanger-ISP-1"
"len","modeval","1","Ecoli-Sanger-ISP-1"
"len","range","385","Ecoli-Sanger-ISP-1"
"len","stddev","158.73","Ecoli-Sanger-ISP-1"
"info","bases","76611","Ecoli-Sanger-LGC-1"
"info","reads","94","Ecoli-Sanger-LGC-1"
"len","max","1106","Ecoli-Sanger-LGC-1"
"len","mean","815.01","Ecoli-Sanger-LGC-1"
"len","median","872.5","Ecoli-Sanger-LGC-1"
"len","min","512","Ecoli-Sanger-LGC-1"
"len","mode","890","Ecoli-Sanger-LGC-1"
"len","modeval","10","Ecoli-Sanger-LGC-1"
"len","range","595","Ecoli-Sanger-LGC-1"
"len","stddev","123.27","Ecoli-Sanger-LGC-1"
"info","bases","62313","Ecoli-Sanger-NIST-1"
"info","reads","92","Ecoli-Sanger-NIST-1"
"len","max","892","Ecoli-Sanger-NIST-1"
"len","mean","677.32","Ecoli-Sanger-NIST-1"
"len","median","597","Ecoli-Sanger-NIST-1"
"len","min","509","Ecoli-Sanger-NIST-1"
