"gc-1","gc-2","gc-3","gc-4","gc-5","gc-6","likelihood","chimera","dataset"
1,1,1,1,1,1,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,1,2,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,1,3,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,1,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,1,5,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,1,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,1,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,1,8,0.916938291098071,10086.0522778595,"Lmono-454-LGC-1"
1,1,1,1,2,2,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,2,3,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,2,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,2,5,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,2,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,2,7,0.916938291098071,10086.0522778595,"Lmono-454-LGC-1"
1,1,1,1,2,8,0.916871403553723,6540.04582559306,"Lmono-454-LGC-1"
1,1,1,1,3,3,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,3,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,3,5,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,3,6,0.016891562587008,9506.53562740457,"Lmono-454-LGC-1"
1,1,1,1,3,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,3,8,0.916231697088946,8783.12553722098,"Lmono-454-LGC-1"
1,1,1,1,4,4,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,4,5,0.0108360305779495,8859.45712431366,"Lmono-454-LGC-1"
1,1,1,1,4,6,0.00794249772734805,5321.24631883084,"Lmono-454-LGC-1"
1,1,1,1,4,7,0.916231697088946,8783.12553722098,"Lmono-454-LGC-1"
1,1,1,1,4,8,0.934681453687742,5237.11908495447,"Lmono-454-LGC-1"
1,1,1,1,5,5,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,5,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,5,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,1,1,5,8,0.916366702883244,10316.9962223783,"Lmono-454-LGC-1"
